Nome_Municipio,UF,Taxa_Alfabetizacao,Pop_Alfabetizada,Populacao_Total,Vulnerabilidade_Real,Vulnerabilidade_Prevista,Score_Previsao,Previsao_Correta,prop_15_19,prop_20_24,prop_25_34,prop_35_44,prop_45_54,prop_55_64,prop_65_mais,prop_brancos,prop_pretos,prop_pardos,prop_amarelos,prop_indigenas,prop_homens,prop_mulheres
Fernando de Noronha,PE,96.49,2613,2708,Baixa,Baixa,1.0,True,0.04689807976366322,0.09711964549483014,0.2621861152141802,0.2429837518463811,0.17023633677991137,0.12333825701624815,0.05723781388478582,0.327178729689808,0.14771048744460857,0.5199409158050221,0.001846381093057607,0.0033234859675036928,0.5232644017725259,0.47673559822747413
Manaíra,PB,73.37,5885,8021,Média,Média,1.0,True,0.11345218800648298,0.09051240493704027,0.1909986285999252,0.1873831193118065,0.1539708265802269,0.11818975190125919,0.14549308066325894,0.24897144994389728,0.06757262186759756,0.683081909986286,0.00037401820221917467,0.0,0.49881560902630595,0.501184390973694
Aroeiras,PB,73.75,10794,14635,Média,Média,1.0,True,0.10351896139391868,0.0960027331738982,0.18715408267851041,0.16494704475572258,0.1561325589340622,0.13160232319781345,0.16064229586607448,0.34403826443457464,0.03778612914246669,0.617833959685685,6.83293474547318e-05,0.0002733173898189272,0.49033139733515546,0.5096686026648446
Presidente Juscelino,MA,79.3,6434,8113,Média,Média,1.0,True,0.15789473684210525,0.11993097497842968,0.20645876987550843,0.18944903241710834,0.13262664858868484,0.09774436090225563,0.0958954763959078,0.08504868729200049,0.1659065697029459,0.7480586712683348,0.0001232589670898558,0.0008628127696289905,0.5111549365216319,0.48884506347836804
Itambé,PE,75.22,20284,26966,Média,Média,1.0,True,0.1046503003782541,0.10635615219164875,0.19012830972335534,0.20062300674923977,0.15374916561596083,0.11540458354965512,0.1290884817918861,0.25476525995698285,0.10576281243046799,0.6388785878513684,0.0002225024104427798,0.00037083735073796634,0.4823481421048728,0.5176518578951272
Lagoa Santa,GO,94.49,1028,1088,Média,Média,1.0,True,0.08363970588235294,0.07720588235294118,0.19761029411764705,0.19117647058823528,0.17830882352941177,0.16176470588235295,0.11029411764705882,0.45588235294117646,0.09375,0.4384191176470588,0.01011029411764706,0.001838235294117647,0.4954044117647059,0.5045955882352942
Canaã,MG,88.35,3465,3922,Média,Média,1.0,True,0.07470678225395207,0.07419683834778175,0.15247322794492607,0.18944416114227436,0.16292707802141765,0.15527791942886282,0.1909739928607853,0.41942886282508923,0.11448240693523712,0.46098929117797044,0.005099439061703213,0.0,0.49770525242223357,0.5022947475777665
Fernão,SP,94.95,1279,1347,Média,Média,1.0,True,0.09279881217520415,0.066815144766147,0.1744617668893838,0.1789161098737936,0.16629547141796586,0.1321455085374907,0.18856718634001485,0.6028210838901262,0.03414996288047513,0.34743875278396436,0.014847809948032665,0.0007423904974016332,0.4981440237564959,0.5018559762435041
Araraquara,SP,97.62,196471,201268,Baixa,Baixa,1.0,True,0.07047816841226623,0.0813244032831846,0.1840878828229028,0.20227259176818968,0.16160045312717372,0.14282946121589124,0.15740703937039172,0.6532086571138979,0.08299381918635848,0.2554057276864678,0.007750859550450146,0.0006409364628256852,0.47275771608005246,0.5272422839199475
Cachoeira da Prata,MG,96.99,2998,3091,Baixa,Baixa,1.0,True,0.06761565836298933,0.06470397929472663,0.1494661921708185,0.16758330637334196,0.16725978647686832,0.173730184406341,0.20964089291491428,0.2649627952119055,0.1426722743448722,0.5907473309608541,0.0009705596894208993,0.0006470397929472663,0.4674862504043999,0.5325137495956002
